airing_date,broadcast_date,cover_image,demographic,duration,ending_themes,english_title,episodes_number,favorites,genres,id,japanese_title,licensors,members,opening_themes,original_title,popularity,premiered_date,producers,ranked,rating,related_entries,resources_links,score,social_links,source,status,streaming_links,studios,synonyms,synopsis,themes,type
"Nov 16, 2013",,https://cdn.myanimelist.net/images/anime/5/55483.jpg,Kids,1 hr. 20 min.,,,1,0,"Adventure,Fantasy,Sci-Fi",21021,十五少年漂流記 海賊島DE！大冒険,,447,,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,#17395,,Studio Kelmadick,#16387,G - All Ages,Alternative Version - (https://myanimelist.net/anime/5013/Juugo_Shounen_Hyouryuuki ; https://myanimelist.net/anime/9095/Hitomi_no_Naka_no_Shounen__Juugo_Shounen_Hyouryuuki ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=10225,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=15704",N/A,http://www.kaizokujima.com/,Unknown,Finished Airing,,,Miao Xing Shaonian Piaoliu Ji,"The film is based on the Jules Verne novel 'Adrift in the Pacific: Two Years Holiday' published in 1888. A group of youngsters find themselves adrift at sea, and after a terrible storm they are cast upon a deserted island, where they must learn to get along with each other in order to survive. On this occasion, the human protagonists are replaced by cats.",,Movie
"Aug 22, 1982",,https://cdn.myanimelist.net/images/anime/8/9763.jpg,,1 hr. 3 min.,"'Love Me Island (ラブ・ミー・アイランド)' by Yoshiko Hidaka, Koorogi '73",Adrift in the Pacific,1,0,"Drama,Adventure",5013,十五少年漂流記,,986,,Juugo Shounen Hyouryuuki,#14169,,,#10388,G - All Ages,Alternative Version - (https://myanimelist.net/anime/9095/Hitomi_no_Naka_no_Shounen__Juugo_Shounen_Hyouryuuki ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=2367,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=2309",5.89,,Novel,Finished Airing,,Toei Animation,"Jugo Shonen Hyoryuki, Fifteen Boys Adrift, Two Years' Vacation","Fifteen young students embark on the boat that should lead them to their families on the coasts of New Zealand. Unfortunately the boat loses its anchor and heads to the open sea in the middle of the night without sailors on it. In the morning, a violent storm prevents the children from sailing back to the harbor. A few days later boat grounds on a deserted island in the Pacific ocean. During 20 months the fifteen children will be left alone and will have to get organized in order to survive. They manage to store up food for the cold winter that will be soon there. Briant, Doniphan, and Gordon lead the group of children who find out that a sailor has lived and died on the island 20 years before. (Source: ANN)",Historical,TV Special
"Apr 6, 1999 to Jun 29, 1999",Tuesdays at 01:15 (JST),https://cdn.myanimelist.net/images/anime/13/60987.jpg,,24 min. per ep.,'Forever' by 0930,Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,13,35,"Drama,Comedy,Adventure,Action",635,十兵衛ちゃん ーラブリー眼帯の秘密,"Bandai Entertainment,Media Blasters","20,230",,Juubee-chan: Lovely Gantai no Himitsu,#5050,Spring 1999,Bandai Visual,#6071,PG-13 - Teens 13 or older,Sequel (TV) - (https://myanimelist.net/anime/636/Juubee-chan_2__Siberia_Yagyuu_no_Gyakushuu),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=76,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=503,http://en.wikipedia.org/wiki/Jubei-chan",6.66,http://www.madhouse.co.jp/works/2000-1999/works_tv_jyubeichan.html,Original,Finished Airing,,Madhouse,Jubei-chan - Secret of the Lovely Eyepatch,"Jiyu Nanohana is an ordinary schoolgirl until she runs across a scatterbrained 300 year old samurai who tells her that she is the reincarnation of Yagyu Jubei. With the help of the 'Lovely Eyepatch' she transforms into the legendary swordsman whenever she needs to use his awesome fighting ability, which she needs to do quite often as a rival clan is dead set on conquering Yagyu to satisfy an old family grudge. (Source: ANN)",,TV
"Jan 8, 2004 to Apr 1, 2004",Unknown,https://cdn.myanimelist.net/images/anime/7/20768.jpg,,24 min. per ep.,'Kokoro Harete Yoru mo Akete' by Yui Horie,Jubei-chan 2: The Counterattack of Siberia Yagyu,13,18,"Drama,Comedy,Adventure,Action",636,十兵衛ちゃん2 ～シベリア柳生の逆襲～,"Media Blasters,Geneon Entertainment USA","12,121",'Nagi ~Peace of Mind~' by Okazaki Ritsuko,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,#6185,Winter 2004,TV Tokyo Music,#5166,PG-13 - Teens 13 or older,Prequel (TV) - (https://myanimelist.net/anime/635/Juubee-chan__Lovely_Gantai_no_Himitsu),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=1332,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=2845,http://en.wikipedia.org/wiki/Jubei-chan_2",6.82,http://www.j2.bz/,Original,Finished Airing,http://www.crunchyroll.com/series-283494,Madhouse,,"Three hundred years ago, in the frigid land of Siberia, Jubei Yagyu engaged in a fierce battle with Kitaretsusai of the Northern Yagyu clan. The duel was costly, as his daughter Freesia was frozen in suspended animation. As a result of global warming in the present day, Freesia breaks free from her icy grave and moves to Japan as a middle school transfer student, where she befriends Jiyuu Nanohana. Little does Jiyuu know that Freesia is targeting her to acquire the coveted Lovely Eye Patch, which Freesia believes is rightfully hers. (Source: ANN)",,TV
"Apr 15, 2003 to Jul 15, 2003",Unknown,https://cdn.myanimelist.net/images/anime/1898/103439.jpg,,24 min. per ep.,'Shigure's Theme' by Kitaro,Ninja Scroll: The Series,13,112,"Adventure,Action,Fantasy,Horror",618,獣兵衛忍風帖「龍宝玉篇」,"Discotek Media,Urban Vision","45,730",'Jubei's Theme' by Kitaro,Juubee Ninpuuchou: Ryuuhougyoku-hen,#3443,Spring 2003,Studio Take Off,#6070,R - 17+ (violence & profanity),Prequel (Movie) - (https://myanimelist.net/anime/617/Juubee_Ninpuuchou) | Other - (https://myanimelist.net/anime/54017/Juubee_Ninpuuchou_Burst ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=681,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=1013,http://en.wikipedia.org/wiki/Ninja_Scroll:_The_Series",6.66,http://www.ninja-scroll.com/,Original,Finished Airing,http://www.crunchyroll.com/series-280690,Madhouse,"Juubee Ninpuuchou: Ryuuhougyoku Hen, Jubei Ninpucho - Ryuhougyokuhen, Jubei Ninpucho: Ryuhogyoku-Hen, Wind Ninja Chronicles [Dragon Stone Chapter], Ninja Scroll - The Series","Fourteen years after defeating the immortal warrior Himuro Genma and thwarting the Shogun of the Dark's evil plans, Kibagami Jubei continues to roam all over Japan as a masterless swordsman. During his journey, he meets Shigure, a priestess who has never seen the world outside her village. But when a group of demons destroys the village and kills everyone, Jubei becomes a prime target after acquiring the Dragon Jewel—a stone with an unknown origin. Meanwhile, Shigure—along with the monk Dakuan and a young thief named Tsubute—travels to the village of Yagyu. And with two demon clans now hunting down Shigure, Dakuan must once again acquire the services of Jubei to protect the Priestess of Light. (Source: ANN)",,TV
"Jun 24, 2012",,https://cdn.myanimelist.net/images/anime/1245/132140.jpg,,1 min.,,Ninja Scroll Burst,1,4,"Supernatural,Action,Horror",54017,獣兵衛忍風帖BURST,,725,,Juubee Ninpuuchou Burst,#15227,,,N/A,R - 17+ (violence & profanity),Other - (https://myanimelist.net/anime/618/Juubee_Ninpuuchou__Ryuuhougyoku-hen ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=9333,https://en.wikipedia.org/wiki/Ninja_Scroll#Sequel",6.37,https://www.madhouse.co.jp/news/news_2012_04.html,Original,Finished Airing,,Madhouse,,"An animated trailer for a new Ninja Scroll project, revealed in 2012. Since no further news have surfaced regarding this project, the trailer is all that remains.",,
"Jun 5, 1993",,https://cdn.myanimelist.net/images/anime/1520/145971.jpg,,1 hr. 31 min.,"'Somewhere, Far Away, Everyone is Listening to a Ballad' by Ryouhei Yamanashi",Ninja Scroll,1,"1,244","Romance,Adventure,Horror,Fantasy,Action",617,獣兵衛忍風帖,"Sentai Filmworks,Manga Entertainment","149,113",,Juubee Ninpuuchou,#1633,,"animate Film,Movic,TOHO",#1538,R+ - Mild Nudity,Sequel (TV) - (https://myanimelist.net/anime/618/Juubee_Ninpuuchou__Ryuuhougyoku-hen),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=277,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=485,http://en.wikipedia.org/wiki/Ninja_scroll",7.61,http://www.madhouse.co.jp/works/1994-1993/works_movie_jyubei.html,Original,Finished Airing,"http://www.crunchyroll.com/series-280690,https://www.hidive.com/movies/ninja-scroll",Madhouse,"Wind Ninja Chronicles, Juubei Ninpucho","Jubei Kibagami wanders feudal Japan as an itinerant swordsman-for-hire. After a past betrayal left him masterless, he has no more patience for warring political factions and their schemes. Unfortunately, both past and political intrigue collide when he meets and saves a female ninja named Kagero from a man with the ability to make his body as hard as stone. The sole survivor of a ninja clan, Kagero continues her team's last mission: investigate a mysterious plague that wiped out an entire village. Jubei wants nothing to do with this, but the stone-like man's allies, a group of ninja with supernatural powers known as the Devils of Kimon, make that option difficult. To make matters worse, a government spy poisons Jubei, promising him an antidote if he can unravel the true intentions of the Devils of Kimon and their connection to the plague. The trail leads to shadow leaders, a plot to overthrow the government, and a man that Jubei thought he would never see again.",,Movie
1968,,https://cdn.myanimelist.net/images/anime/4/70689.jpg,Kids,1 min.,,Ten Little Indians,1,1,,29409,十人の小さなインディアン,,561,,Juu-nin no Chiisa na Indian,#16273,,,#13108,G - All Ages,,http://ja.wikipedia.org/wiki/岡本忠成,4.99,,Book,Finished Airing,,,10 Little Indians,Short film by Tadanari Okamoto set to the tune of 'Ten Little Indians'.,Music,Movie
"Apr 14, 2006 to Jun 23, 2006",Fridays at 00:45 (JST),https://cdn.myanimelist.net/images/anime/3/14079.jpg,Shoujo,22 min. per ep.,'Te wo Tsunaide' by Younha,Jyu-Oh-Sei: Planet of the Beast King,11,370,"Drama,Adventure,Sci-Fi,Action,Mystery",953,獣王星,Funimation,"75,127",'Deep In Your Heart' by Koichi Domoto,Juu Ou Sei,#2614,Spring 2006,"Dentsu,SKY Perfect Well Think,Fuji TV,Asmik Ace,Sony Music Entertainment",#3418,R - 17+ (violence & profanity),Adaptation (Manga) - (https://myanimelist.net/manga/382/Juu_Ou_Sei),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=4226,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=6177,https://en.wikipedia.org/wiki/Jyu-Oh-Sei",7.18,http://jyu-oh-sei.com/,,Finished Airing,,Bones,"Juuousei, Jyu Oh Sei","After the murder of their parents, 11-year-old twin brothers Thor and Rai Klein are sent away from their home planet. They find themselves awakening on the terraformed planet of Chimaera, where carnivorous plants dominate and the few humans who live there are divided into four groups known as 'Rings.' Soon after, they meet a young man by the name of Zagi, and the twins learn that only the 'Jyu Oh Sei'—the one who conquers these four Rings—is allowed to leave the planet. Driven by the desire to return home and discover the truth behind the death of his parents, Thor resolves to survive in the harsh, merciless environment of Chimaera. However, he quickly learns there is more than meets the eye in this strange ecosystem. As Thor is swept up in the politics that entangle the Rings, he uncovers more about his parents' murder, and ultimately, humanity's fate as a whole. [Written by MAL Rewrite]",,TV
"Dec 19, 2014 to Jan 23, 2015",,https://cdn.myanimelist.net/images/anime/1327/104089.jpg,,15 min. per ep.,'Monologue' by Tomoe Tamiyasu,,2,35,,27603,受胎島,,"10,999",,Jutaijima,#6428,,Lune-Pictures,N/A,Rx - Hentai,Alternative Version - (https://myanimelist.net/anime/36933/Ura_Jutaijima ; ) | Alternative Setting - (https://myanimelist.net/anime/34747/Meikoku_Gakuen__Jutai-hen ; ),https://anidb.net/perl-bin/animedb.pl?show=anime&aid=10839,6.73,,Visual novel,Finished Airing,,T-Rex,,"It was a school field trip that went terribly, terribly wrong. A cruise ship carrying a high school class was wrecked at sea with some of the survivors miraculously winding up on a nearby island. Though the buildings there suggest it was once populated, the only occupants now are the girls who survived the shipwreck, and the one male student that they all looked down upon for his unattractive appearance. Not long after arriving however, the girls begin to become overwhelmed with an abnormal sexual desire. No matter what they do to themselves, the lust won’t go away. They discover that the cause of this is a virus, with the only cure for it being male sperm. Unfortunately, the cure is only temporary and if the lust continues uncontrolled, it results in the host of the virus dying from cardiac arrest. Now there is quite literally only one man who can save them all—the very same man that they shunned before being stuck on the island. The question of Jutaijima is not whether he will or won’t save them, but what sexual measures he will go to in order to do so?",,OVA
2002,,https://cdn.myanimelist.net/images/anime/1193/140065.jpg,,4 min.,,,1,0,"Avant Garde,Comedy,Sci-Fi",56669,Justice Runners,,83,,Justice Runners,#25297,,,#16386,PG-13 - Teens 13 or older,,,N/A,,Original,Finished Airing,,,,Tomioka does not fail to deliver in his wild and unique take on the world. His multi-coloured animation talents take us on a whirlwind trip of old school trams with weird and wonderful characters. (Source: 25FPS Festival),,Movie
"Dec 29, 2011",,https://cdn.myanimelist.net/images/anime/13/39023.jpg,,24 min.,"Densetsu no Senshi Justeen (伝説の戦士ジャスティーン, Legendary Warrior Justeen)' by Dr. rask",,1,0,"Action,Sci-Fi",11767,ジャスティーン,,"1,110",,Justeen,#13719,,G-mode,#11071,PG-13 - Teens 13 or older,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=8710,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=13826",5.75,http://www.st-noix.jp/justeen/,Original,Finished Airing,,AIC,,"The story is set in the future when a new threat attacks humans just as they are expanding their presence into space. Now, an enigmatic entity from 17 years ago has been set free, and the name of the entity is Justeen.",Mecha,OVA
"Feb 13, 2024",,https://cdn.myanimelist.net/images/anime/1135/141401.jpg,,3 min.,,,1,0,,58124,Just You and I,,79,,Just You and I,#25581,,,N/A,PG-13 - Teens 13 or older,,,N/A,https://www.youtube.com/watch?v=8jivuR4i2eE,Original,Finished Airing,,,,Music video for the song Just You and I by Tacitly.,Music,
"Oct 5, 2017 to Dec 28, 2017",Thursdays at 21:00 (JST),https://cdn.myanimelist.net/images/anime/10/88234.jpg,,23 min. per ep.,"'behind' by Mio Natsume (Karin Isobe), Hatsuki Morikawa (Yuna Yoshino), Ena Komiya (Lynn)",Just Because!,12,"1,534","Drama,Romance",35639,Just Because!,Sentai Filmworks,"319,577",'over and over' by Nagi Yanagi,Just Because!,#796,Fall 2017,"Sotsu,AT-X,BS Fuji,NBCUniversal Entertainment Japan,Tokyo MX,Moonbell,INCS toenter",#3170,PG-13 - Teens 13 or older,Adaptation (Novel) - (https://myanimelist.net/manga/111275/Just_Because),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=13199,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=19945,https://en.wikipedia.org/wiki/Just_Because!",7.23,"http://justbecause.jp/,https://twitter.com/JustBecause_JP",Original,Finished Airing,https://www.hidive.com/tv/just-because,PINE JAM,,"As another school year begins drawing to a close, the third-year high school students move steadily toward the next milestone of their lives: graduation. Among them are Mio Natsume, a girl burdened with lingering feelings; Hazuki Morikawa, a member of the concert band but distant from the others; and Haruto Souma, an athlete obsessed with baseball. Meanwhile, second-year student Ena Komiya seeks to revive the photography club to its former glory, refusing to let the organization be disbanded. Though this group lacks a strong connection with one another, their lives suddenly cross paths with the arrival of a third-year transfer student. While a transfer so close to graduation is unusual for most, it is business as usual for Eita Izumi. Due to his father's work, he has never been able to stay in one place for very long. But as luck would have it, their most recent relocation has returned Eita to his hometown for his final semester of high school. For better or worse, it also sparks the rekindling of old relationships left behind in the past. With graduation already causing its own share of anxieties, Eita's sudden arrival brings these students' carefree days to an abrupt end. Long-forgotten memories, deeply buried emotions, and inspiring new passions—everything is brought to light in their bittersweet final semester. [Written by MAL Rewrite]",,TV
2026 to ?,,https://cdn.myanimelist.net/images/anime/1155/145600.jpg,,Unknown,,,Unknown,10,"Comedy,Action,Sci-Fi",59889,機動警察パトレイバー EZY（イズィー）,,"2,189",,Kidou Keisatsu Patlabor: EZY,#11505,,Genco,N/A,None,Other - (https://myanimelist.net/anime/1288/Kidou_Keisatsu_Patlabor ; https://myanimelist.net/anime/33741/Kidou_Keisatsu_Patlabor__Reboot ; ),https://en.wikipedia.org/wiki/Patlabor#Patlabor_EZY,N/A,"https://patlabor.tokyo/,https://twitter.com/patlabor0810",Original,Not yet aired,,J.C.Staff,Patlabor The Mobile Police: EZY,A new animation in the Kidou Keisatsu Patlabor series.,,
"Jul 15, 1989",,https://cdn.myanimelist.net/images/anime/5/74786.jpg,,1 hr. 39 min.,,Patlabor: The Movie,1,262,"Drama,Action",1095,機動警察パトレイバー the Movie,"Maiden Japan,Manga Entertainment,Bandai Visual USA","50,867",,Kidou Keisatsu Patlabor the Movie,#3244,,"Bandai Visual,Shochiku,Bandai,Tohokushinsha Film Corporation",#1693,PG-13 - Teens 13 or older,Prequel (OVA) - (https://myanimelist.net/anime/1288/Kidou_Keisatsu_Patlabor),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=777,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=191,http://en.wikipedia.org/wiki/Patlabor:_The_Movie",7.56,,Original,Finished Airing,https://www.hidive.com/movies/patlabor-the-mobile-police-the-movie,"Production I.G,Studio Deen","Kidou Keisatsu Patlabor Gekijouban, Patlabor 1: The Movie, Patlabor: The Mobile Police, Mobile Police Patlabor: The Movie","The Babylon Project is a massive renovation of Tokyo's neighborhoods, including the creation of artificial islands in the Bay. Utilizing 'Labors,' or robots created for the express purpose of doing work, architects and construction crews are able to more efficiently progress development of the overhaul. When a key figure in the Project's conception is found dead after committing suicide under mysterious circumstances, Captain Kiichi Gotou's Patlabor police unit is tasked with getting to the bottom of the bizarre situation. As several Labors begin to go haywire and a hacked AI program endangers the people of Tokyo, young pilot Noa Izumi and her Patlabor Alphonse work under Gotou's orders to save the city and the entire nation from a massive biblical conspiracy. [Written by MAL Rewrite]",,Movie
"Aug 7, 1993",,https://cdn.myanimelist.net/images/anime/6/74764.jpg,,1 hr. 53 min.,,Patlabor 2: The Movie,1,864,"Drama,Sci-Fi,Award Winning,Action,Mystery",1096,機動警察パトレイバー2 the Movie,"Maiden Japan,Manga Entertainment,Bandai Visual USA","40,665",,Kidou Keisatsu Patlabor 2 the Movie,#3678,,"Bandai Visual,VAP,Shochiku,Tohokushinsha Film Corporation",#666,PG-13 - Teens 13 or older,Prequel (Movie) - (https://myanimelist.net/anime/1095/Kidou_Keisatsu_Patlabor_the_Movie),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=395,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=410",8.00,http://www.b-ch.com/cgi-bin/contents/ttl/det.cgi?ttl_c=176,Original,Finished Airing,https://www.hidive.com/movies/patlabor-2-the-movie,Production I.G,,"Three years after the Babylon Project conspiracy is resolved, the members of Kiichi Gotou's Patlabor unit have gone their separate ways. Gotou remains with the Patlabor team, accompanied by Shinobu Nagumo, his romantic crush and comrade. Playing into the public's skepticism toward the Japanese Ground Self-Defense Force, a terrorist organization begins to work from within the military to cause destruction and mass civil unrest throughout Japan. Nagumo learns that the mastermind behind the growing terrorist plot is none other than Yukihito Tsuge, her former mentor and lover. Gotou reassembles his former Patlabor team, spearheaded by pilot Noa Izumi. Leading the team into a mission to arrest Tsuge, Nagumo must come to terms with her complicated past relationships in order to save Japan. [Written by MAL Rewrite]",,Movie
"Apr 25, 1988 to Jun 25, 1989",,https://cdn.myanimelist.net/images/anime/11/24151.jpg,,28 min. per ep.,"1: 'Then, Daybreak' by Kenji Kawai (eps 1),2: 'Megalocity Police' by Kenji Kawai (eps 2),3: 'The Limits of Illusion' by Kenji Kawai (eps 3),4: 'Tragedy of L' by Kenji Kawai (eps 4),5: 'TheLongest Day of the SV2' by Kenji Kawai (eps 5),6: 'Revolution' by Kenji Kawai (eps 6),7: 'Captain Gotoh's Report' by Kenji Kawai (eps 7)",Patlabor: The Mobile Police,7,216,"Comedy,Action,Sci-Fi",1288,機動警察パトレイバー,"Central Park Media,Maiden Japan","40,424",'Miraiha Lovers (未来派Lovers)' by Hiroko Kasahara,Kidou Keisatsu Patlabor,#3691,,"Production I.G,Bandai,Tohokushinsha Film Corporation",#3014,PG-13 - Teens 13 or older,Sequel (Movie) - (https://myanimelist.net/anime/1095/Kidou_Keisatsu_Patlabor_the_Movie) | Alternative Version - (https://myanimelist.net/anime/324/Kidou_Keisatsu_Patlabor__On_Television ; ) | Other - (https://myanimelist.net/anime/2733/MiniPato ; https://myanimelist.net/anime/33741/Kidou_Keisatsu_Patlabor__Reboot ; https://myanimelist.net/anime/59889/Kidou_Keisatsu_Patlabor__EZY ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=1518,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=408",7.26,http://en.wikipedia.org/wiki/Patlabor,Original,Finished Airing,https://www.hidive.com/movies/patlabor-the-mobile-police-the-original-ovas,Studio Deen,"Patlabor The Mobile Police: The Original Series, Kido Keisatsu Patlabor: Early Days, Mobile Police Patlabor","As the human race evolves, so does its technology. Engineers have successfully created robots dubbed 'Labors' for mass distribution, utilized by society for a number of everyday tasks. However, there are criminals who manage to get their hands on these Labors, using them for their own nefarious means. To combat this new form of delinquency, police around the world begin using 'Patrol Labors' or 'Patlabors' to put a stop to Labor-related crimes. Rookie police officer Noa Izumi is drafted into a special Patlabor unit, getting her own mechanical suit to fight crime. Naming this machine Alphonse, Izumi works tirelessly alongside her peers to keep civilization safe from those who would use this advanced technology to harm others. As Izumi becomes further ingrained within her unit, she must also learn how to navigate both her social and professional spheres with grace and wit. She befriends the aloof Asuma Shinohara, fellow pilot Isao Oota, and the other members of her brigade as she helps them to combat conspiratorial plots, workplace revolts, and supernatural beings. [Written by MAL Rewrite]",,OVA
"Apr 1, 1994 to Mar 31, 1995",Fridays at 17:00 (JST),https://cdn.myanimelist.net/images/anime/1187/133654.jpg,,24 min. per ep.,"1: 'Umi Yori Mo Fukaku (Deeper Than The Ocean)' by Etsuko Sai (eps 1-25),2: 'Kimi No Naka No Eien (The Eternity in You)' by Inoue Takehide (eps 26-49)",Mobile Fighter G Gundam,49,"1,048","Drama,Romance,Action,Sci-Fi",96,機動武闘伝Gガンダム,"Nozomi Entertainment,Bandai Entertainment","72,028","1: 'Flying In The Sky' by Yoshifumi Ushima (eps 1-25),2: 'Trust You Forever' by Yoshifumi Ushima (eps 26-49)",Kidou Butouden G Gundam,#2695,Spring 1994,"TV Asahi,Sotsu",#1633,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/3510/Kidou_Butouden_G_Gundam) | Parent Story - (https://myanimelist.net/anime/80/Kidou_Senshi_Gundam ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=915,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=299,http://en.wikipedia.org/wiki/G_Gundam",7.58,http://www.gundam.channel.or.jp/program/_gg_tv.shtml,Original,Finished Airing,http://www.crunchyroll.com/series-272721,Sunrise,Mobile Fighter G-Gundam,"In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all. Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament. Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph. [Written by MAL Rewrite]",,TV
